Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
151.101.129.140-10.122.140.76-443-60313-6,10.122.140.76,60313,151.101.129.140,443,6,15/02/2024 05:37:03 PM,25294,5,7,670.0,4260.0,606.0,0.0,134.0,265.3073689138694,1386.0,0.0,608.5714285714286,728.1114514374059,194907.88329248043,474.42081125958725,2299.454545454545,4780.1890415262105,14898.0,0.0,17327.0,4331.75,7247.431332318139,15167.0,242.0,23322.0,3886.9999999999995,6377.757223350541,15229.0,0.0,0,0,0,0,100,164,197.67533802482802,276.74547323475923,0.0,1386.0,379.2307692307693,596.8749385823569,356259.6923076923,0,1,0,0,0,0,0,0,1.0,410.8333333333333,134.0,608.5714285714286,0,0,0,0,0,0,5,670,7,4260,-1,288,2,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60311-6,151.101.129.140,443,10.122.140.76,60311,6,15/02/2024 05:37:03 PM,45,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,533333.3333333333,88888.88888888889,15.0,25.98076211353316,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,20,66666.66666666666,22222.222222222223,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,3,24,1,0,-1,288,1,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60313-6,151.101.129.140,443,10.122.140.76,60313,6,15/02/2024 05:37:03 PM,1091,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,21998.166819431714,3666.3611365719526,363.66666666666663,629.8891436858818,1091.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,20,2749.770852428964,916.5902841429881,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,3,24,1,0,-1,288,1,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60312-6,151.101.129.140,443,10.122.140.76,60312,6,15/02/2024 05:37:03 PM,0,3,1,24.0,0.0,24.0,0.0,8.0,13.856406460551018,0.0,0.0,0.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,60,20,0.0,0.0,0.0,24.0,4.8,10.73312629199899,115.2,0,0,0,0,1,0,0,0,0.0,6.0,8.0,0.0,0,0,0,0,0,0,3,24,1,0,-1,288,1,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60311-6,10.122.140.76,60311,151.101.129.140,443,6,15/02/2024 05:37:03 PM,662264,0,2,0.0,24.0,0,0,0,0,24.0,0.0,12.0,16.97056274847714,36.239324498991344,3.0199437082492784,662264.0,0.0,662264.0,662264.0,0,0,0,0,0,662264.0,662264.0,0.0,662264.0,662264.0,0,0,0,0,0,40,0.0,3.0199437082492784,0.0,24.0,8.0,13.856406460551018,192.0,0,0,1,0,1,0,0,0,0.0,12.0,0.0,12.0,0,0,0,0,0,0,0,0,2,24,-1,288,0,0,0,0,0,0,0,0,0,0,No Label
142.250.115.94-10.122.140.76-443-60328-6,10.122.140.76,60328,142.250.115.94,443,6,15/02/2024 05:37:05 PM,12385,5,7,641.0,4482.0,567.0,0.0,128.2,247.38067830774497,1386.0,0.0,640.2857142857143,706.895021505012,413645.5389584174,968.9140088817118,1125.909090909091,2244.2807067987487,6272.0,0.0,7382.0,1845.5,2996.1524772058356,6323.0,90.0,11540.0,1923.3333333333333,3025.612510991232,6601.0,0.0,0,0,0,0,100,164,403.7141703673799,565.1998385143319,0.0,1386.0,394.0769230769231,589.9203988023104,348006.07692307694,0,1,0,0,0,0,0,0,1.0,426.9166666666667,128.2,640.2857142857143,0,0,0,0,0,0,5,641,7,4482,-1,261,2,0,0,0,0,0,0,0,0,0,No Label
142.250.115.94-10.122.140.76-443-60328-6,142.250.115.94,443,10.122.140.76,60328,6,15/02/2024 05:37:05 PM,0,1,1,0.0,958.0,0.0,0.0,0.0,0.0,958.0,958.0,958.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,958.0,638.6666666666667,553.1015578836615,305921.3333333333,0,0,0,1,1,0,0,0,1.0,958.0,0.0,958.0,0,0,0,0,0,0,1,0,1,958,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60313-6,10.122.140.76,60313,151.101.129.140,443,6,15/02/2024 05:37:03 PM,1536707,0,2,0.0,24.0,0,0,0,0,24.0,0.0,12.0,16.97056274847714,15.617811332934645,1.3014842777445537,1536707.0,0.0,1536707.0,1536707.0,0,0,0,0,0,1536707.0,1536707.0,0.0,1536707.0,1536707.0,0,0,0,0,0,40,0.0,1.3014842777445537,0.0,24.0,8.0,13.856406460551018,192.0,0,0,1,0,1,0,0,0,0.0,12.0,0.0,12.0,0,0,0,0,0,0,0,0,2,24,-1,288,0,0,0,0,0,0,0,0,0,0,No Label
151.101.129.140-10.122.140.76-443-60312-6,10.122.140.76,60312,151.101.129.140,443,6,15/02/2024 05:37:03 PM,1546172,0,2,0.0,24.0,0,0,0,0,24.0,0.0,12.0,16.97056274847714,15.52220580892682,1.2935171507439016,1546172.0,0.0,1546172.0,1546172.0,0,0,0,0,0,1546172.0,1546172.0,0.0,1546172.0,1546172.0,0,0,0,0,0,40,0.0,1.2935171507439016,0.0,24.0,8.0,13.856406460551018,192.0,0,0,1,0,1,0,0,0,0.0,12.0,0.0,12.0,0,0,0,0,0,0,0,0,2,24,-1,288,0,0,0,0,0,0,0,0,0,0,No Label
142.250.113.94-10.122.140.76-443-60329-6,10.122.140.76,60329,142.250.113.94,443,6,15/02/2024 05:37:05 PM,13365,5,7,611.0,4484.0,537.0,0.0,122.2,234.08374569798733,1386.0,0.0,640.5714285714286,706.7462668555708,381219.60344182566,897.8675645342312,1215.0,2395.268753188251,6610.0,0.0,7823.0,1955.75,3173.0891756562196,6700.0,98.0,12464.0,2077.333333333333,3259.8112624301834,7053.0,0.0,0,0,0,0,100,164,374.11148522259634,523.7560793116348,0.0,1386.0,391.9230769230769,589.2269598859257,347188.41025641025,0,1,0,0,0,0,0,0,1.0,424.5833333333333,122.2,640.5714285714286,0,0,0,0,0,0,5,611,7,4484,-1,261,2,0,0,0,0,0,0,0,0,0,No Label
142.250.113.94-10.122.140.76-443-60329-6,142.250.113.94,443,10.122.140.76,60329,6,15/02/2024 05:37:05 PM,0,1,1,0.0,962.0,0.0,0.0,0.0,0.0,962.0,962.0,962.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20,20,0.0,0.0,0.0,962.0,641.3333333333333,555.41095896042,308481.3333333334,0,0,0,1,1,0,0,0,1.0,962.0,0.0,962.0,0,0,0,0,0,0,1,0,1,962,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
151.101.1.140-10.122.140.76-443-60332-6,10.122.140.76,60332,151.101.1.140,443,6,15/02/2024 05:37:05 PM,14607,3,4,544.0,1386.0,544.0,0.0,181.33333333333331,314.0785464391564,1386.0,0.0,346.5,693.0,132128.43157390293,479.22229068254944,2434.5,2525.2641643994393,6279.0,35.0,9993.0,4996.5,6852.571816478832,9842.0,151.0,13409.0,4469.666666666667,2052.1855016867585,6465.0,2365.0,0,0,0,0,60,104,205.38098172109264,273.84130896145683,0.0,1386.0,241.24999999999994,500.1884644811393,250188.49999999997,0,1,0,0,0,0,0,0,1.0,275.7142857142857,181.33333333333334,346.5,0,0,0,0,0,0,3,544,4,1386,-1,288,1,0,0,0,0,0,0,0,0,0,No Label
142.250.113.94-10.122.140.76-443-60329-6,10.122.140.76,60329,142.250.113.94,443,6,15/02/2024 05:37:05 PM,1499604,0,2,0.0,962.0,0,0,0,0,962.0,0.0,481.0,680.2367235014588,641.5026900435048,1.3336854262858728,1499604.0,0.0,1499604.0,1499604.0,0,0,0,0,0,1499604.0,1499604.0,0.0,1499604.0,1499604.0,0,0,0,0,0,40,0.0,1.3336854262858728,0.0,962.0,320.6666666666667,555.41095896042,308481.3333333334,0,0,1,0,1,0,0,0,0.0,481.0,0.0,481.0,0,0,0,0,0,0,0,0,2,962,-1,261,0,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-23.47.50.172-60266-443-6,10.122.140.76,60266,23.47.50.172,443,6,15/02/2024 05:36:39 PM,29994034,0,4,0.0,25.0,0,0,0,0,24.0,0.0,6.249999999999999,11.84271928232701,0.8334990885187368,0.1333598541629979,9998011.333333332,1.7313353683656596E7,2.998975E7,0.0,0,0,0,0,0,2.9994034E7,9998011.333333332,1.7313353683656596E7,2.998975E7,0.0,0,0,0,0,0,92,0.0,0.1333598541629979,0.0,24.0,5.2,10.52140675005011,110.7,0,0,0,0,1,0,0,0,0.0,6.5,0.0,6.25,0,0,0,0,0,0,0,0,4,25,-1,501,0,0,4284.0,0.0,4284.0,4284.0,2.998975E7,0.0,2.998975E7,2.998975E7,No Label
10.122.140.76-23.47.50.172-60266-443-6,10.122.140.76,60266,23.47.50.172,443,6,15/02/2024 05:37:09 PM,89,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22471.91011235955,89.0,0.0,89.0,89.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,11235.955056179775,11235.955056179775,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,514,0,0,0,0,0,0,0,0,0,0,No Label
151.101.1.140-10.122.140.76-443-60334-6,10.122.140.76,60334,151.101.1.140,443,6,15/02/2024 05:37:10 PM,10822,3,2,520.0,0.0,520.0,0.0,173.33333333333331,300.2221399786054,0.0,0.0,0.0,0.0,48050.26797264831,462.0218074293107,2705.5,3205.89524678105,6540.0,21.0,6638.0,3319.0,4555.181884403739,6540.0,98.0,4163.0,4163.0,0.0,4163.0,4163.0,0,0,0,0,60,64,277.2130844575864,184.80872297172428,0.0,520.0,86.66666666666667,212.28911104120877,45066.66666666667,0,1,0,0,0,0,0,0,0.0,104.0,173.33333333333334,0.0,0,0,0,0,0,0,3,520,2,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
151.101.1.140-10.122.140.76-443-60334-6,151.101.1.140,443,10.122.140.76,60334,6,15/02/2024 05:37:10 PM,14892,7,2,4225.0,0.0,1386.0,0.0,603.5714285714287,732.0432266705878,0.0,0.0,0.0,0.0,283709.3741606231,604.351329572925,1861.4999999999998,3780.9748176136495,10393.0,0.0,10445.0,1740.8333333333333,4238.72973503462,10393.0,0.0,14855.0,14855.0,0.0,14855.0,14855.0,0,0,0,0,140,40,470.05103411227503,134.30029546065,0.0,1386.0,422.5,665.0271924264952,442261.1666666667,0,0,0,0,1,0,0,0,0.0,469.44444444444446,603.5714285714286,0.0,0,0,0,0,0,0,7,4225,2,0,-1,0,5,0,0,0,0,0,0,0,0,0,No Label
