Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
157.240.25.35-10.122.140.76-443-61550-17,10.122.140.76,61550,157.240.25.35,443,17,15/02/2024 07:30:16 PM,69064,29,49,1612.0,3878.0,86.0,34.0,55.586206896551715,24.36407959238839,86.0,40.0,79.14285714285714,14.933184523068078,79491.4861577667,1129.3872350283796,896.9350649350649,4920.139531444799,34604.0,0.0,69063.0,2466.535714285714,8114.424529387264,34824.0,0.0,69007.0,1437.6458333333335,6647.14316971627,34608.0,0.0,0,0,0,0,232,392,419.9003822541411,709.4868527742384,34.0,86.0,70.58227848101266,21.977615415630318,483.0155793573514,0,0,0,0,0,0,0,0,1.0,71.48717948717949,55.58620689655172,79.14285714285714,0,0,0,0,0,0,29,1612,49,3878,-1,-1,29,0,0,0,0,0,0,0,0,0,No Label
198.148.27.131-10.122.140.76-443-62900-6,10.122.140.76,62900,198.148.27.131,443,6,15/02/2024 07:30:15 PM,2714011,77,67,2790.0,2682.0,74.0,0.0,36.23376623376623,35.08069498497493,74.0,0.0,40.02985074626865,33.795718820339445,2016.2040610741813,53.058001607215296,18979.097902097903,203978.77732749187,2439189.0,0.0,2714011.0,35710.67105263158,281673.5576870686,2456580.0,0.0,2713998.0,41121.18181818182,305568.77586076,2483986.0,0.0,0,0,0,0,1600,1424,28.3712925260804,24.686709081134893,0.0,74.0,37.737931034482756,34.44621828333248,1186.5419540229889,0,1,0,0,0,0,0,0,0.0,38.0,36.23376623376623,40.02985074626866,0,0,0,0,0,0,77,2790,67,2682,-1,42,42,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.122.140.76-53-55022-17,10.122.140.76,55022,8.8.8.8,53,17,15/02/2024 07:30:17 PM,4910,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,87983.70672097759,2443.9918533604887,446.36363636363626,1478.4308081697482,4904.0,0.0,3.0,0.75,0.49999999999999994,1.0,0.0,4910.0,818.3333333333333,2003.5193701750595,4908.0,0.0,0,0,0,0,40,56,1018.3299389002036,1425.661914460285,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-104.244.42.67-62756-443-6,10.122.140.76,62756,104.244.42.67,443,6,15/02/2024 07:30:17 PM,144356,23,19,604.0,752.0,74.0,0.0,26.260869565217398,30.633044236730473,74.0,0.0,39.578947368421055,31.353390370409677,9393.443985702013,290.9473800881155,3520.8780487804875,11090.83138722053,41121.0,0.0,144356.0,6561.636363636362,21368.30575663618,80000.0,0.0,104123.0,5784.611111111111,19524.722913267407,80892.0,0.0,0,1,0,0,460,380,159.32832719111084,131.61905289700462,0.0,74.0,33.25581395348837,31.5791469947645,997.2425249169438,0,0,0,1,1,0,0,0,0.0,34.04761904761905,26.26086956521739,39.578947368421055,0,0,0,0,0,0,23,604,19,752,-1,270,11,0,0,0,0,0,0,0,0,0,No Label
208.67.220.220-10.122.140.76-53-50981-17,10.122.140.76,50981,208.67.220.220,53,17,15/02/2024 07:30:17 PM,12810,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,33723.653395784546,936.7681498829039,1164.5454545454545,3860.370380252039,12804.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,12810.0,2135.0000000000005,5228.190929948905,12807.0,0.0,0,0,0,0,40,56,390.32006245121,546.448087431694,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
8.8.8.8-10.122.140.76-53-62352-17,10.122.140.76,62352,8.8.8.8,53,17,15/02/2024 07:30:17 PM,5513,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,78360.23943406495,2176.673317612915,501.18181818181824,1660.5738055372196,5508.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,5513.0,918.8333333333334,2249.693082770774,5511.0,0.0,0,0,0,0,40,56,906.947215672048,1269.726101940867,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
208.67.222.222-10.122.140.76-53-53381-17,10.122.140.76,53381,208.67.222.222,53,17,15/02/2024 07:30:17 PM,5598,5,7,225.0,561.0,45.0,45.0,45.0,0.0,86.0,45.0,80.14285714285714,15.496543393378316,140407.28831725617,2143.6227224008576,508.90909090909093,1686.2022686822274,5593.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,5598.0,933.0000000000001,2283.904288712642,5595.0,0.0,0,0,0,0,40,56,893.1761343336907,1250.4465880671669,45.0,86.0,63.92307692307693,21.273855388173605,452.57692307692304,0,0,0,0,0,0,0,0,1.0,69.25,45.0,80.14285714285714,0,0,0,0,0,0,5,225,7,561,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
10.122.140.76-18.235.183.13-62899-443-6,10.122.140.76,62899,18.235.183.13,443,6,15/02/2024 07:30:15 PM,198903,65,79,1902.0,3276.0,74.0,0.0,29.261538461538454,33.831973100103895,74.0,0.0,41.46835443037975,35.31863583154047,26032.789852340087,723.9709808298518,1390.9300699300702,8171.183327211937,75765.0,0.0,123135.0,1923.9843750000007,7998.443768261281,39615.0,0.0,198903.0,2550.038461538461,11018.354773177001,75778.0,0.0,0,0,0,0,1360,1664,326.79245662458584,397.1785242052659,0.0,74.0,35.710344827586205,35.07430945732284,1230.2071839080463,0,1,0,0,0,0,0,0,1.0,35.958333333333336,29.26153846153846,41.46835443037975,0,0,0,0,0,0,65,1902,79,3276,-1,180,30,0,0,0,0,0,0,0,0,0,No Label
208.67.222.222-10.122.140.76-53-49415-17,10.122.140.76,49415,208.67.222.222,53,17,15/02/2024 07:30:17 PM,15961,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,27065.973309942987,751.8325919428607,1451.0000000000002,4811.095945831885,15957.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,15961.0,2660.1666666666665,6515.071186615436,15959.0,0.0,0,0,0,0,40,56,313.263579976192,438.56901196666877,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
208.67.222.222-10.122.140.76-53-50561-17,10.122.140.76,50561,208.67.222.222,53,17,15/02/2024 07:30:16 PM,12336,5,7,180.0,252.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,35019.45525291829,972.7626459143969,1121.4545454545455,3717.4540041172368,12330.0,0.0,2.0,0.5,0.5773502691896257,1.0,0.0,12336.0,2056.0,5034.191335259318,12332.0,0.0,0,0,0,0,40,56,405.3177691309987,567.4448767833982,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,39.0,36.0,36.0,0,0,0,0,0,0,5,180,7,252,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
